date,prcp(m/day),petfao56(m/day),streamflow(m3/s)
2014-10-01,0.003875722815667,-0.0043166074659075,389.6666666666667
2014-10-02,0.0010740442830674,-0.0043230248897121,388.0
2014-10-03,0.0043607326771257,-0.0028975357115802,392.2916666666667
2014-10-04,0.0073083473113113,-0.002498330912654,383.6666666666667
2014-10-05,0.0044776741906737,-0.0031015737132646,374.3333333333333
2014-10-06,0.0004006874767638,-0.0037017813297148,517.6666666666666
2014-10-07,0.0032864637813237,-0.0027791746195108,651.0416666666666
2014-10-08,0.0032104433828167,-0.0024416172334538,392.7619047619048
2014-10-09,0.0010302033035606,-0.0034554772411552,437.05882352941177
2014-10-10,0.0034395338947454,-0.0025420306415565,613.5833333333334
2014-10-11,0.0087579867362122,-0.0014401362000683,421.45454545454544
2014-10-12,0.0046214131529674,-0.0015791851827173,755.5294117647059
2014-10-13,0.0033160571626914,-0.0019094343319304,377.88235294117646
2014-10-14,0.0014228390257337,-0.0022595425687234,486.2380952380952
2014-10-15,0.0041477026751256,-0.0013965074524204,677.1666666666666
2014-10-16,0.0058297816934088,-0.0013836040673497,449.4583333333333
2014-10-17,0.0057428317420243,-0.001256431099216,434.7083333333333
2014-10-18,0.0018291351892854,-0.0020547741657945,437.9166666666667
2014-10-19,0.0064120881951489,-0.0015557254168512,432.375
2014-10-20,0.0038157995624935,-0.0027171399152181,443.0
2014-10-21,0.0004535927727912,-0.0027473197572625,457.75
2014-10-22,0.0045755001467524,-0.0017311188789762,565.625
2014-10-23,0.0007376969615546,-0.002683759048318,508.7083333333333
2014-10-24,0.0008554679698132,-0.0027401504292382,505.625
2014-10-25,0.0001640227355655,-0.003044907260408,528.25
2014-10-26,0.0013020594687043,-0.0024634445401153,530.2083333333334
2014-10-27,0.0163369565496177,-0.0009548461019453,504.2083333333333
2014-10-28,0.0010016054518709,-0.0020983794227107,536.9166666666666
2014-10-29,0.0036601463255453,-0.0018468800522477,517.1666666666666
2014-10-30,0.0029331381305246,-0.0017300368716979,535.8333333333334
2014-10-31,0.0030443552566258,-0.0013817398524165,543.3333333333334
2014-11-01,0.0075391811297754,-0.0012739040319467,376.7083333333333
2014-11-02,0.0051191872119518,-0.0009074382858591,361.0
2014-11-03,0.0009086625887425,-0.0011131619571293,394.8333333333333
2014-11-04,0.0007723972332973,-0.00107387857627,445.25
2014-11-05,0.0003881319831574,-0.0013078008245409,388.0833333333333
2014-11-06,0.0043575552288326,-0.0008632671324045,431.625
2014-11-07,0.0030327422869693,-0.0007334000015382,448.25
2014-11-08,0.0008379718061348,-0.0008542143392757,548.25
2014-11-09,0.0006324431415518,-0.0008348864634009,552.9166666666666
2014-11-10,0.0013144411545626,-0.0008304188500609,553.7916666666666
2014-11-11,0.0021815562641911,-0.0009833162028248,527.3333333333334
