# Public domain dataset from https://github.com/amacd31/daily_hydromet_sample_data
date,P,PE,Q
1988-01-01,12.174531936645508,1.3021565322580648,457.50887424
1988-01-02,0.07234130799770355,1.318721930550074,236.4509433600001
1988-01-03,0.2166295349597931,1.3352873288420828,141.74823743999985
1988-01-04,0.21652278304100037,1.3518527271340919,112.72068575999992
1988-01-05,0.0,1.368418125426101,91.5935212800002
1988-01-06,1.618234634399414,1.3849835237181098,76.42987487999999
1988-01-07,21.21160888671875,1.401548922010119,79.41163391999999
1988-01-08,0.0,1.418114320302128,100.30943231999987
1988-01-09,0.0,1.4346797185941371,100.30943231999987
1988-01-10,0.0,1.451245116886146,96.66506016
1988-01-11,0.046360671520233154,1.467810515178155,92.02676832000016
1988-01-12,0.22321943938732147,1.4843759134701642,104.41253664000007
1988-01-13,3.078589916229248,1.500941311762173,384.0607584000003
1988-01-14,0.0,1.5175067100541821,294.1747401600001
1988-01-15,0.0,1.5340721083461912,172.12650048000032
1988-01-16,0.005481054540723562,1.5506375066382003,165.2455180799998
1988-01-17,10.878429412841797,1.5672029049302092,1613.7687686400004
1988-01-18,3.9875872135162354,1.5837683032222183,783.7184102400003
1988-01-19,29.71172332763672,1.6003337015142274,7177.9859884800035
1988-01-20,12.16305160522461,1.6168990998062363,1705.7700518400015
1988-01-21,0.0,1.6334644980982453,456.61689504000014
1988-01-22,0.0,1.6500298963902544,272.5378732800001
1988-01-23,0.0,1.6665952946822635,201.91860575999993
1988-01-24,0.03458303585648537,1.6831606929742724,170.2915718399999
1988-01-25,0.031069735065102577,1.6997260912662815,139.93879391999985
1988-01-26,0.0,1.7162914895582904,117.86868
1988-01-27,0.0,1.7328568878502995,101.50723295999997
1988-01-28,0.0,1.7494222861423085,97.86286079999998
1988-01-29,0.0,1.7659876844343176,97.86286079999998
1988-01-30,0.0,1.7825530827263267,97.93931615999998
1988-01-31,1.3888952732086182,1.7991184810183356,98.55095903999997
1988-02-01,5.531726837158203,1.8156838793103447,117.91965024000014
1988-02-02,7.884155750274658,1.8542805058302327,260.3305008000001
1988-02-03,2.80975341796875,1.8928771323501208,250.49324448000016
1988-02-04,12.148714065551758,1.9314737588700086,1067.4187660800003
1988-02-05,0.0,1.9700703853898966,356.48585855999977
1988-02-06,0.0,2.0086670119097847,191.3422809600004
1988-02-07,0.0,2.0472636384296727,144.75548159999985
1988-02-08,0.0,2.085860264949561,139.45457663999986
1988-02-09,0.0,2.124456891469449,134.40852287999994
1988-02-10,0.0,2.163053517989337,120.9014092800002
1988-02-11,3.188870429992676,2.201650144509225,120.21331104000014
1988-02-12,6.988180160522461,2.2402467710291125,131.32482336000007
1988-02-13,0.1533949077129364,2.2788433975490006,126.91589760000008
1988-02-14,1.5803921222686768,2.3174400240688886,339.9715008000002
1988-02-15,27.24822998046875,2.3560366505887766,4006.9999324799987
1988-02-16,0.0,2.3946332771086647,535.87561824
1988-02-17,0.0,2.4332299036285527,323.2022918400001
1988-02-18,1.3425397872924805,2.471826530148441,252.07332192000027
1988-02-19,10.35488510131836,2.510423156668329,1288.62960768
1988-02-20,0.04175691306591034,2.549019783188217,528.5868739199999
1988-02-21,0.0,2.5876164097081045,268.9444713600003
1988-02-22,0.0,2.626213036227993,203.01446591999985
1988-02-23,0.2648699879646301,2.6648096627478806,171.66776832000016
1988-02-24,0.05171545594930649,2.7034062892677686,145.9023119999999
1988-02-25,0.0,2.7420029157876566,128.69985600000004
1988-02-26,0.0,2.7805995423075447,128.24112384
1988-02-27,0.0,2.8191961688274327,120.34073664000022
1988-02-28,0.0,2.857792795347321,113.38329888000004
1988-02-29,0.0,2.896389421867209,104.61641759999996
1988-03-01,0.0,2.934986048387097,92.58744096000014
1988-03-02,0.18540602922439575,2.9802511624176207,92.23064928000008
1988-03-03,12.86397933959961,3.0255162764481445,312.0652943999998
1988-03-04,11.310985565185547,3.0707813904786683,949.72848192
1988-03-05,0.043768979609012604,3.116046504509192,293.43567168
1988-03-06,0.4467373490333557,3.161311618539716,202.07151647999993
1988-03-07,0.10846026986837387,3.2065767325702397,169.3741075199998
1988-03-08,2.183103322982788,3.2518418466007635,165.75522048
1988-03-09,13.145608901977539,3.297106960631287,1304.7107184000001
1988-03-10,7.182415008544922,3.342372074661811,979.2912211200003
1988-03-11,0.0,3.3876371886923344,353.7589507199997
1988-03-12,1.538846731185913,3.4329023027228582,286.07047200000017
1988-03-13,4.418294429779053,3.478167416753382,359.41664736000007
1988-03-14,0.0,3.523432530783906,217.89777599999988
1988-03-15,0.0,3.5686976448144296,162.72249119999972
1988-03-16,0.0,3.6139627588449534,140.11718975999986
1988-03-17,0.0036463825963437557,3.6592278728754772,126.5081356800001
1988-03-18,0.8592341542243958,3.704492986906001,126.81395712000004
1988-03-19,2.065542459487915,3.749758100936525,127.78239168000006
1988-03-20,0.0,3.7950232149670486,116.90024544000023
1988-03-21,0.0,3.8402883289975724,107.82754271999984
1988-03-22,0.0,3.8855534430280962,101.6346585599999
1988-03-23,0.0,3.93081855705862,94.37139936000014
1988-03-24,0.033306047320365906,3.9760836710891434,97.07282208000014
1988-03-25,10.152571678161621,4.021348785119668,187.6979088
1988-03-26,0.0,4.066613899150191,189.30347135999997
1988-03-27,0.0,4.111879013180715,118.65871872000008
1988-03-28,0.0,4.157144127211239,102.90891456
1988-03-29,0.9971972107887268,4.202409241241762,95.4417744000001
1988-03-30,17.609966278076172,4.247674355272286,363.69814752000013
1988-03-31,8.503067016601562,4.2929394693028105,573.1858339200004
1988-04-01,11.613950729370117,4.338204583333334,1048.1010451200002
