P,ET,modeled_Q,obs_Q
3,3.28,0.281,0.304
0,3.25,0.278,0.289
0,3.23,0.274,0.301
0,3.21,0.271,0.304
3,3.19,0.267,0.312
0,3.17,0.264,0.332
0,3.15,0.261,0.321
0,3.13,0.258,0.309
0.2,3.15,0.255,0.309
0,3.14,0.252,0.309
0,3.12,0.249,0.309
0,3.11,0.246,0.309
0.1,3.1,0.244,0.309
0,3.08,0.241,0.319
0,3.07,0.239,0.309
0,3.06,0.236,0.309
0,3.04,0.234,0.291
0,3.03,0.231,0.286
0,3.06,0.229,0.286
3.5,3.05,0.227,0.287
1.5,3.03,0.226,0.294
0,3.01,0.223,0.302
0,2.98,0.221,0.309
0,2.95,0.219,0.307
0,2.92,0.217,0.304
0,2.89,0.215,0.301
0,2.86,0.213,0.297
0,2.82,0.211,0.294
0,2.78,0.209,0.291
0,2.67,0.207,0.287
0,2.63,0.205,0.284
0,2.59,0.204,0.281
0,2.55,0.202,0.277
0,2.51,0.2,0.274
0,2.47,0.198,0.272
0,2.44,0.197,0.269
0,2.4,0.195,0.266
0.2,2.36,0.194,0.244
0,2.33,0.192,0.243
0,2.31,0.191,0.243
0,2.28,0.189,0.243
0,2.24,0.188,0.243
0,2.21,0.186,0.243
1.1,2.17,0.185,0.243
0.7,2.14,0.184,0.229
0,2.1,0.182,0.199
0.2,2.07,0.181,0.199
0,2.03,0.18,0.199
0,2,0.179,0.199
1.7,1.96,0.177,0.199
2,1.92,0.176,0.199
1.5,1.88,0.175,0.199
13.2,1.85,0.18,0.209
9.7,1.81,0.197,0.317
0.2,1.78,0.198,0.311
13.2,1.74,0.197,0.264
1.2,1.71,0.218,0.525
6.2,1.67,0.202,0.525
1.5,1.63,0.208,0.415
0,1.58,0.196,0.356
0,1.55,0.192,0.321
0.5,1.51,0.191,0.307
0,1.48,0.19,0.304
3.1,1.45,0.191,0.301
0,1.42,0.194,0.297
1.4,1.39,0.189,0.294
3.8,1.36,0.19,0.291
1.7,1.34,0.196,0.289
10.4,1.31,0.206,0.307
1.4,1.32,0.234,0.359
4,1.29,0.212,0.379
9.6,1.26,0.235,0.984
11.3,1.24,0.291,1.007
0,1.21,0.313,0.731
1.4,1.18,0.26,0.552
2.5,1.15,0.253,0.495
8.5,1.12,0.285,0.495
0,1.09,0.326,0.479
14.1,1.05,0.34,0.562
5.8,0.97,0.462,1.273
